OID_,Name,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name_1,LakeAddChe,Shape_Leng,Shape_Length,Shape_Area,Area_km2,Area_km2geodesic
190,Cx,60,0,siteSCoutlet170807,Y,267972.9067,18879.29941,2580490.597,2.580490597,2.582599957
191,MhMrMm,56,0,SC-8B,Y,237453.753,15887.93694,5412338.802,5.412338802,5.416719713
192,MhMrMm,58,0,siteSC-9A,Y,258694.6456,15887.93694,5412338.802,5.412338802,5.416719713
193,MhMrMm,59,0,siteSCoutlet170710,Y,263523.1099,15887.93694,5412338.802,5.412338802,5.416719713
194,MhMrMm,60,0,siteSCoutlet170807,Y,267972.9067,15887.93694,5412338.802,5.412338802,5.416719713
195,MhMrMm,57,0,site14,Y,48819.29437,43851.21297,16038008.83,16.03800883,16.05088324
196,MhMrMm,58,0,siteSC-9A,Y,258694.6456,43851.21297,16038008.83,16.03800883,16.05088324
197,MhMrMm,59,0,siteSCoutlet170710,Y,263523.1099,43851.21297,16038008.83,16.03800883,16.05088324
198,MhMrMm,60,0,siteSCoutlet170807,Y,267972.9067,43851.21297,16038008.83,16.03800883,16.05088324
199,MhMrMm,58,0,siteSC-9A,Y,258694.6456,1592.372599,13081.76894,0.013081769,0.013094916
200,MhMrMm,59,0,siteSCoutlet170710,Y,263523.1099,1592.372599,13081.76894,0.013081769,0.013094916
201,MhMrMm,60,0,siteSCoutlet170807,Y,267972.9067,1592.372599,13081.76894,0.013081769,0.013094916
202,Cx,58,0,siteSC-9A,Y,258694.6456,1592.372599,13081.76894,0.013081769,0.013094916
203,Cx,59,0,siteSCoutlet170710,Y,263523.1099,1592.372599,13081.76894,0.013081769,0.013094916
204,Cx,60,0,siteSCoutlet170807,Y,267972.9067,1592.372599,13081.76894,0.013081769,0.013094916
205,MhMrMm,55,0,site12-1,Y,3831.035085,1069.740526,22279.99224,0.022279992,0.02229966
206,MhMrMm,58,0,siteSC-9A,Y,258694.6456,1069.740526,22279.99224,0.022279992,0.02229966
207,MhMrMm,59,0,siteSCoutlet170710,Y,263523.1099,1069.740526,22279.99224,0.022279992,0.02229966
208,MhMrMm,60,0,siteSCoutlet170807,Y,267972.9067,1069.740526,22279.99224,0.022279992,0.02229966
