OID_,Name,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name_1,LakeAddChe,Shape_Leng,Shape_Length,Area_km2,Area_km2geodesic
138,Cx,58,0,siteSC-9A,Y,258694.6456,408.2039358,0.003074647,0.003077314
139,Cx,59,0,siteSCoutlet170710,Y,263523.1099,408.2039358,0.003074647,0.003077314
140,Cx,60,0,siteSCoutlet170807,Y,267972.9067,408.2039358,0.003074647,0.003077314
141,MhMrMm,58,0,siteSC-9A,Y,258694.6456,30498.37475,8.923014196,8.93009577
142,MhMrMm,59,0,siteSCoutlet170710,Y,263523.1099,30498.37475,8.923014196,8.93009577
143,MhMrMm,60,0,siteSCoutlet170807,Y,267972.9067,30498.37475,8.923014196,8.93009577
144,Cx,58,0,siteSC-9A,Y,258694.6456,6546.067671,0.948271241,0.948940397
145,Cx,59,0,siteSCoutlet170710,Y,263523.1099,6546.067671,0.948271241,0.948940397
146,Cx,60,0,siteSCoutlet170807,Y,267972.9067,6546.067671,0.948271241,0.948940397
147,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,52078.79328,26.48016361,26.50180761
148,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,52078.79328,26.48016361,26.50180761
149,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,52078.79328,26.48016361,26.50180761
150,ApAt,58,0,siteSC-9A,Y,258694.6456,529.7501259,0.01298683,0.01299717
151,ApAt,59,0,siteSCoutlet170710,Y,263523.1099,529.7501259,0.01298683,0.01299717
152,ApAt,60,0,siteSCoutlet170807,Y,267972.9067,529.7501259,0.01298683,0.01299717
153,Mv,15,0,SDDNTS300150704,Y,6912.094798,2363.253234,0.028841187,0.028863211
154,Mv,16,0,SDDNTS400150704,Y,7087.512259,2363.253234,0.028841187,0.028863211
155,Mv,45,0,S3INTSINFLOW3160730,Y,35682.3182,2363.253234,0.028841187,0.028863211
156,Mv,46,0,S3DNTS7160730,Y,39206.58459,2363.253234,0.028841187,0.028863211
157,MpMbMpv,15,0,SDDNTS300150704,Y,6912.094798,3421.125799,0.065803901,0.065855173
158,MpMbMpv,16,0,SDDNTS400150704,Y,7087.512259,3421.125799,0.065803901,0.065855173
159,MpMbMpv,45,0,S3INTSINFLOW3160730,Y,35682.3182,3421.125799,0.065803901,0.065855173
160,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,3421.125799,0.065803901,0.065855173
161,Cx,41,0,S2UPTS4160617,Y,21949.53018,2643.64933,0.259611178,0.259814831
162,Cx,43,0,S2DNTS5160617,Y,24551.93494,2643.64933,0.259611178,0.259814831
