OID_,FID_canlc2015_nolakes_nad83zn8_clipsite10revised,FID_CAN_LC_2015_CAL_Clip_Projectnad83utm8_poly,Id,gridcode,FID_NHN_Lakes_Project_nad83zn8_SS2017update,nid,validityDate,acquisitionTechnique,datasetName,planimetricAccuracy,provider,completelyCover,waterDefinition,isolated,permanency,geographicalNameDB,lakeId1,lakeId2,riverId1,riverId2,lakeName1,lakeName2,riverName1,riverName2,idDate,nameDate,waterDefinitionText,ModifiedbySarah,FID_revisedsite10wpoly_nad83zn8,HydroID,CREATED,Shape_Length,Shape_Area
699,698,56070,56070,6,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,120.000000013038516,900.000000195577741
700,699,56071,56071,10,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,120.000000014901161,900.000000223517418
701,700,56124,56124,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,120.000000005587935,900.000000083819032
702,701,56125,56125,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,179.999999998137355,1799.999999972060323
703,702,56126,56126,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,120.000000000000000,900.000000000000000
704,703,56127,56127,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,240.000000018626451,2700.000000586733222
705,704,56128,56128,11,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,119.999999996274710,899.999999944120646
706,705,56129,56129,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,300.000000011175871,3600.000000335276127
707,706,56130,56130,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,779.999999996274710,22500.000000083819032
708,707,56131,56131,1,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,360.000000005587935,4500.000000474974513
709,708,56132,56132,1,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,1919.999999981373549,63900.000001983717084
710,709,56133,56133,6,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,16140.000000024214387,597599.999999664723873
711,710,56134,56134,5,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,120.000000005587935,900.000000083819032
712,711,56135,56135,5,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,360.000000003725290,4500.000000502914190
713,712,56181,56181,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,119.999999996274710,899.999999944120646
714,713,56182,56182,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,1199.999999992549419,25199.999999832361937
715,714,56183,56183,5,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,540.000000007450581,8100.000000670552254
716,715,56184,56184,6,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,120.000000000000000,900.000000000000000
717,716,56185,56185,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,119.999999996274710,899.999999944120646
718,717,56186,56186,5,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,1260.000000026077032,36000.000000307336450
719,718,56187,56187,6,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,119.999999992549419,899.999999888241291
720,719,56188,56188,6,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,3660.000000026077032,104399.999998938292265
721,720,56189,56189,6,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,120.000000005587935,900.000000083819032
722,721,56190,56190,11,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,600.000000000000000,9899.999999804422259
723,722,56191,56191,11,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,1019.999999985098839,18900.000000111758709
724,723,56192,56192,6,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,480.000000011175871,9000.000000530853868
725,724,56193,56193,1,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,660.000000001862645,11699.999999497085810
726,725,56194,56194,5,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,2040.000000001862645,49499.999999497085810
727,726,56195,56195,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,119.999999992549419,899.999999888241291
728,727,56196,56196,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,479.999999994412065,8099.999999888241291
729,728,56254,56254,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,360.000000003725290,4500.000000111758709
730,729,56255,56255,6,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,1379.999999998137355,36000.000000474974513
