OID_,Field1,site,loc,trans,date,lat,long,notes,year,campaign,trannum,loc2,snapped,NEAR_FID,NEAR_DIST
109,109,SE,DN,TS-0800,2015-07-21 0:00:00,67.149748000000002,-135.700803900000011,NA,2015,2015shorttransects,2,DNTS800m,Y,19,4066.539707555602945
110,110,SE,DN,TS-0800,2015-08-21 0:00:00,67.150000899999995,-135.699934000000013,SE tongue moved 25m downstream so shifted all transect points down,2015,2015shorttransects,3,DNTS800m,Y,19,4104.399640883904794
111,111,SE,DN,TS-1000,2015-07-06 0:00:00,67.150343899999996,-135.697395900000004,NA,2015,2015shorttransects,1,DNTS1000m,Y,19,4202.114183517594938
112,112,SE,DN,TS-1000,2015-07-21 0:00:00,67.150343899999996,-135.697395900000004,NA,2015,2015shorttransects,2,DNTS1000m,Y,19,4202.114183517594938
113,113,SE,DN,TS-1000,2015-08-21 0:00:00,67.150566999999995,-135.696427999999997,SE tongue moved 25m downstream so shifted all transect points down,2015,2015shorttransects,3,DNTS1000m,Y,19,4240.003328492583023
114,114,SE,DN,TS-A,2016-07-25 0:00:00,67.148784000000006,-135.709144000000009,equivalent to Scott's SE DN2,2016,2016transect,2,DN,Y,18,3703.421006515950012
115,115,SE,DN,TS-B,2016-07-25 0:00:00,67.148761899999997,-135.709122000000008,this is the inflow between SE DN TS-A and C; equivalent to Scott's SE DN4,2016,2016transect,2,DN,Y,18,3707.323954386582045
116,116,SE,DN,TS-C,2016-07-25 0:00:00,67.148769000000001,-135.708972999999986,equivalent to Scott's SE DN3,2016,2016transect,2,DN,Y,18,3718.656511159010279
117,117,SE,IN,SL,2016-08-09 0:00:00,67.148823899999996,-135.718551999999988,double check exp2 start date,2016,2016transect,3,IN,,18,3311.121353968413587
118,118,SE,IN,SMSC,2016-08-09 0:00:00,67.148823899999996,-135.718551999999988,double check exp2 start date,2016,2016transect,3,IN,,18,3311.121353968413587
119,119,SE,IN,SN,2016-08-09 0:00:00,67.148823899999996,-135.718551999999988,double check exp2 date,2016,2016transect,3,IN,,18,3311.121353968413587
120,120,SE,IN,SS-0000,2015-07-06 0:00:00,67.148619999999994,-135.718029999999999,NA,2015,2015shorttransects,1,IN,,18,3335.540295068425621
121,121,SE,IN,SS-0000,2015-07-21 0:00:00,67.148619999999994,-135.718029999999999,NA,2015,2015shorttransects,2,IN,,18,3335.540295068425621
122,122,SE,IN,SS-0000,2015-08-21 0:00:00,67.148619999999994,-135.718029999999999,NA,2015,2015shorttransects,3,IN,,18,3335.540295068425621
123,123,SE,IN,SS-0000,2016-06-17 0:00:00,67.148823899999996,-135.718551999999988,NA,2016,2016transect,1,IN,,18,3311.121353968413587
124,124,SE,IN,SS-0000,2016-07-25 0:00:00,67.148823899999996,-135.718551999999988,SEIN SZ2016 in GPS_Data for 2016 Field season (see Google Drive),2016,2016transect,2,IN,,18,3311.121353968413587
125,125,SE,IN,SS-0000,2016-08-09 0:00:00,67.148823899999996,-135.718551999999988,NA,2016,2016transect,3,IN,,18,3311.121353968413587
126,126,SE,UP,SS-0000,2015-07-06 0:00:00,67.148480000000006,-135.720900000000000,NA,2015,2015shorttransects,1,UP,Y,18,3212.182735948010304
127,127,SE,UP,SS-0000,2015-07-21 0:00:00,67.148480000000006,-135.720900000000000,NA,2015,2015shorttransects,2,UP,Y,18,3212.182735948010304
128,128,SE,UP,SS-0000,2015-08-21 0:00:00,67.148480000000006,-135.720900000000000,NA,2015,2015shorttransects,3,UP,Y,18,3212.182735948010304
129,129,SE,UP,SS-0000,2016-06-17 0:00:00,67.148421900000002,-135.721204000000000,NA,2016,2016transect,1,UP,Y,18,3198.740263737756322
130,130,SE,UP,SS-0000,2016-07-25 0:00:00,67.148421900000002,-135.721204000000000,NA,2016,2016transect,2,UP,Y,18,3198.740263737756322
131,131,SE,UP,SS-0000,2016-08-09 0:00:00,67.148421900000002,-135.721204000000000,NA,2016,2016transect,3,UP,Y,18,3198.740263737756322
132,12,27,NA,SS-0000,2017-07-12 0:00:00,67.178039999999996,-135.729999999999990,NA,2017,2017synoptic,1,NA,Y,25,2150.004188695457742
