OID_,FID_watercourse_acc_count_jk_nad83zn8,waterbody,impact,type,psuedo,acc_val,distant,count,RivID,Fnode,Tnode,Strahler,Segment,acc,acc_count,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name,WatershedArea,LakeAddCheck,Shape_Length
181,504,,,,,,,,576,590,616,2,10,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,233.920141450298104
182,524,,1,2,,,,,598,637,638,6,759,94.000000000000000,109.000000000000000,59,,siteSC-9A,,Y,26.857400200970140
183,524,,1,2,,,,,598,637,638,6,759,94.000000000000000,109.000000000000000,60,,siteSCoutlet170710,,Y,26.857400200970140
184,524,,1,2,,,,,598,637,638,6,759,94.000000000000000,109.000000000000000,61,,siteSCoutlet170807,,Y,26.857400200970140
185,525,,,,,,,,599,639,638,1,1127,0.000000000000000,0.000000000000000,59,,siteSC-9A,,Y,71.341994529971188
186,525,,,,,,,,599,639,638,1,1127,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,71.341994529971188
187,525,,,,,,,,599,639,638,1,1127,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,71.341994529971188
188,532,,1,2,,,,,607,638,616,6,759,94.000000000000000,109.000000000000000,59,,siteSC-9A,,Y,448.135113816366015
189,532,,1,2,,,,,607,638,616,6,759,94.000000000000000,109.000000000000000,60,,siteSCoutlet170710,,Y,448.135113816366015
190,532,,1,2,,,,,607,638,616,6,759,94.000000000000000,109.000000000000000,61,,siteSCoutlet170807,,Y,448.135113816366015
191,535,,,,,,,,610,644,645,1,16,0.000000000000000,0.000000000000000,59,,siteSC-9A,,Y,735.271312360421803
192,535,,,,,,,,610,644,645,1,16,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,735.271312360421803
193,535,,,,,,,,610,644,645,1,16,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,735.271312360421803
194,539,,,,,,,,614,650,645,1,17,0.000000000000000,0.000000000000000,59,,siteSC-9A,,Y,78.608381719372630
195,539,,,,,,,,614,650,645,1,17,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,78.608381719372630
196,539,,,,,,,,614,650,645,1,17,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,78.608381719372630
197,552,,,,,,,,628,645,664,2,18,0.000000000000000,0.000000000000000,59,,siteSC-9A,,Y,2484.451177124816695
198,552,,,,,,,,628,645,664,2,18,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,2484.451177124816695
