OID_,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name,WatershedArea,LakeAddCheck,FID_Norris1985_bedrock_geology_SZdig_SScont,FmAbbr,Fm,Epoch,Epoch2,Lithology1,Lithology2,Lithology3,Lithology4,Notes,Shape_Length,Shape_Area,polygonareakm2
117,59,,siteSC-9A,,Y,112,CF,Ford Lake Shale,Carboniferous,Carboniferous,Shale,Calcareous,Pyritic,NA,marine; may be Upper Devonian in part,3257.720127235197197,313880.710273341159336,0.313880710273341
118,60,,siteSCoutlet170710,,Y,112,CF,Ford Lake Shale,Carboniferous,Carboniferous,Shale,Calcareous,Pyritic,NA,marine; may be Upper Devonian in part,3257.720127235197197,313880.710273341159336,0.313880710273341
119,61,,siteSCoutlet170807,,Y,112,CF,Ford Lake Shale,Carboniferous,Carboniferous,Shale,Calcareous,Pyritic,NA,marine; may be Upper Devonian in part,3257.720127235197197,313880.710273341159336,0.313880710273341
120,59,,siteSC-9A,,Y,113,CF,Ford Lake Shale,Carboniferous,Carboniferous,Shale,Calcareous,Pyritic,NA,marine; may be Upper Devonian in part,8118.377760737523204,1326584.722603318048641,1.326584722603318
121,60,,siteSCoutlet170710,,Y,113,CF,Ford Lake Shale,Carboniferous,Carboniferous,Shale,Calcareous,Pyritic,NA,marine; may be Upper Devonian in part,8118.377760737523204,1326584.722603318048641,1.326584722603318
122,61,,siteSCoutlet170807,,Y,113,CF,Ford Lake Shale,Carboniferous,Carboniferous,Shale,Calcareous,Pyritic,NA,marine; may be Upper Devonian in part,8118.377760737523204,1326584.722603318048641,1.326584722603318
123,16,,SDDNTS300150704,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,4551.397648835989457,72691.009456581028644,0.072691009456581
124,17,,SDDNTS400150704,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,4551.397648835989457,72691.009456581028644,0.072691009456581
125,46,,S3INTSINFLOW3160730,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,4551.397648835989457,72691.009456581028644,0.072691009456581
126,47,,S3DNTS7160730,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,4551.397648835989457,72691.009456581028644,0.072691009456581
