OID_,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name,WatershedArea,LakeAddCheck,FID_Norris1985_bedrock_geology_SZdig_SScont,FmAbbr,Fm,Epoch,Epoch2,Lithology1,Lithology2,Lithology3,Lithology4,Notes,Shape_Length,Shape_Area,polygonareakm2
1787,27,,SEDNTSA160725,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2445.931288116235464,30612.850409445883997,0.030612850409446
1788,29,,SEDNTSC160725,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2445.931288116235464,30612.850409445883997,0.030612850409446
1789,30,,SEDNTS400150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2445.931288116235464,30612.850409445883997,0.030612850409446
1790,31,,SEDNTS400150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2445.931288116235464,30612.850409445883997,0.030612850409446
1791,32,,SEDNTS600150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2445.931288116235464,30612.850409445883997,0.030612850409446
1792,33,,SEDNTS600150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2445.931288116235464,30612.850409445883997,0.030612850409446
1793,34,,SEDNTS800150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2445.931288116235464,30612.850409445883997,0.030612850409446
1794,35,,SEDNTS800150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2445.931288116235464,30612.850409445883997,0.030612850409446
1795,36,,SEDNTS1000150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2445.931288116235464,30612.850409445883997,0.030612850409446
1796,37,,SEDNTS1000150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2445.931288116235464,30612.850409445883997,0.030612850409446
1797,38,,HAUPTS2160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2445.931288116235464,30612.850409445883997,0.030612850409446
1798,39,,HAUPTS22160726,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2445.931288116235464,30612.850409445883997,0.030612850409446
1799,41,,HADNTS3160726,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2445.931288116235464,30612.850409445883997,0.030612850409446
1800,42,,S2UPTS4160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2445.931288116235464,30612.850409445883997,0.030612850409446
1801,44,,S2DNTS5160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2445.931288116235464,30612.850409445883997,0.030612850409446
1802,45,,S3UPTS6160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2445.931288116235464,30612.850409445883997,0.030612850409446
1803,47,,S3DNTS7160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2445.931288116235464,30612.850409445883997,0.030612850409446
1804,21,,SEDN150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1805,22,,SEDN160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1806,23,,SEDNTS100150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1807,24,,SEDNTS100150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1808,25,,SEDNTS200150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1809,26,,SEDNTS200150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1810,27,,SEDNTSA160725,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1811,29,,SEDNTSC160725,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1812,30,,SEDNTS400150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1813,31,,SEDNTS400150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1814,32,,SEDNTS600150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1815,33,,SEDNTS600150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1816,34,,SEDNTS800150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1817,35,,SEDNTS800150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1818,36,,SEDNTS1000150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1819,37,,SEDNTS1000150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1820,38,,HAUPTS2160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1821,39,,HAUPTS22160726,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1822,41,,HADNTS3160726,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1823,42,,S2UPTS4160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1824,44,,S2DNTS5160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1825,45,,S3UPTS6160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1826,47,,S3DNTS7160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2531.357787996700608,98132.795013898503385,0.098132795013899
1827,20,,SEDN160725,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1828,21,,SEDN150706,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1829,22,,SEDN160617,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1830,23,,SEDNTS100150706,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1831,24,,SEDNTS100150821,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1832,25,,SEDNTS200150706,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1833,26,,SEDNTS200150821,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1834,27,,SEDNTSA160725,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1835,29,,SEDNTSC160725,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1836,30,,SEDNTS400150706,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1837,31,,SEDNTS400150821,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1838,32,,SEDNTS600150706,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1839,33,,SEDNTS600150821,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1840,34,,SEDNTS800150706,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1841,35,,SEDNTS800150821,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1842,36,,SEDNTS1000150706,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1843,37,,SEDNTS1000150821,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1844,38,,HAUPTS2160617,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1845,39,,HAUPTS22160726,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1846,41,,HADNTS3160726,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1847,42,,S2UPTS4160617,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1848,44,,S2DNTS5160617,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1849,45,,S3UPTS6160730,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1850,47,,S3DNTS7160730,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,279.211112845992034,1298.560283595790679,0.001298560283596
1851,20,,SEDN160725,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1852,21,,SEDN150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1853,22,,SEDN160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1854,23,,SEDNTS100150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1855,24,,SEDNTS100150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1856,25,,SEDNTS200150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1857,26,,SEDNTS200150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1858,27,,SEDNTSA160725,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1859,29,,SEDNTSC160725,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1860,30,,SEDNTS400150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1861,31,,SEDNTS400150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1862,32,,SEDNTS600150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1863,33,,SEDNTS600150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1864,34,,SEDNTS800150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1865,35,,SEDNTS800150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1866,36,,SEDNTS1000150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1867,37,,SEDNTS1000150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1868,38,,HAUPTS2160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1869,39,,HAUPTS22160726,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1870,41,,HADNTS3160726,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1871,42,,S2UPTS4160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1872,44,,S2DNTS5160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1873,45,,S3UPTS6160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1874,47,,S3DNTS7160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,3527.045432594278736,117387.381387378598447,0.117387381387379
1875,19,,SEUP150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1876,20,,SEDN160725,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1877,21,,SEDN150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1878,22,,SEDN160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1879,23,,SEDNTS100150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1880,24,,SEDNTS100150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1881,25,,SEDNTS200150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1882,26,,SEDNTS200150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1883,27,,SEDNTSA160725,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1884,29,,SEDNTSC160725,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1885,30,,SEDNTS400150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1886,31,,SEDNTS400150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1887,32,,SEDNTS600150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1888,33,,SEDNTS600150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1889,34,,SEDNTS800150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1890,35,,SEDNTS800150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1891,36,,SEDNTS1000150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1892,37,,SEDNTS1000150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1893,38,,HAUPTS2160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1894,39,,HAUPTS22160726,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1895,41,,HADNTS3160726,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1896,42,,S2UPTS4160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1897,44,,S2DNTS5160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1898,45,,S3UPTS6160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1899,47,,S3DNTS7160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1367.570400230493760,17192.728220286931901,0.017192728220287
1900,18,,SEUP160617,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,387.526310738084419,4847.756253744239984,0.004847756253744
1901,19,,SEUP150706,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,387.526310738084419,4847.756253744239984,0.004847756253744
1902,20,,SEDN160725,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,387.526310738084419,4847.756253744239984,0.004847756253744
1903,21,,SEDN150706,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,387.526310738084419,4847.756253744239984,0.004847756253744
1904,22,,SEDN160617,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,387.526310738084419,4847.756253744239984,0.004847756253744
1905,23,,SEDNTS100150706,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,387.526310738084419,4847.756253744239984,0.004847756253744
1906,24,,SEDNTS100150821,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,387.526310738084419,4847.756253744239984,0.004847756253744
1907,25,,SEDNTS200150706,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,387.526310738084419,4847.756253744239984,0.004847756253744
1908,26,,SEDNTS200150821,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,387.526310738084419,4847.756253744239984,0.004847756253744
1909,27,,SEDNTSA160725,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,387.526310738084419,4847.756253744239984,0.004847756253744
1910,29,,SEDNTSC160725,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,387.526310738084419,4847.756253744239984,0.004847756253744
1911,30,,SEDNTS400150706,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,387.526310738084419,4847.756253744239984,0.004847756253744
1912,31,,SEDNTS400150821,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,387.526310738084419,4847.756253744239984,0.004847756253744
1913,32,,SEDNTS600150706,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,387.526310738084419,4847.756253744239984,0.004847756253744
1914,33,,SEDNTS600150821,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,387.526310738084419,4847.756253744239984,0.004847756253744
1915,34,,SEDNTS800150706,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,387.526310738084419,4847.756253744239984,0.004847756253744
1916,35,,SEDNTS800150821,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,387.526310738084419,4847.756253744239984,0.004847756253744
1917,36,,SEDNTS1000150706,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,387.526310738084419,4847.756253744239984,0.004847756253744
1918,37,,SEDNTS1000150821,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,387.526310738084419,4847.756253744239984,0.004847756253744
