OID_,Name,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
62,site3,62,284494.000000000000000,61402916.636406771838665,624.000000000000000,1498.681396484375000,874.681396484375000,960.064324729189252,163.326457841705491,273132539.999505996704102,941.613281250000000,1192.510095214843886
63,siteSC-1A,63,88464.000000000000000,19093364.420068927109241,659.161376953125000,1437.000000000000000,777.838623046875000,1027.252226179776017,166.164762770290650,90874840.936767712235451,1029.649475097656250,1248.565124511718750
64,siteSC-2B,64,501960.000000000000000,108339044.179528370499611,569.000000000000000,1498.681396484375000,929.681396484375000,940.496362195970391,173.631211346452687,472091553.967889308929443,925.559509277343750,1187.869311523437773
65,site8,65,40116.000000000000000,8658317.587668260559440,487.867279052734375,980.000000000000000,492.132720947265625,723.026080080655674,112.607118940613859,29004914.228515584021807,702.816314697265625,885.256103515625000
66,site29,66,64111.000000000000000,13837207.071068895980716,602.998229980468750,981.000000000000000,378.001770019531250,760.852060447141980,79.789684337761869,48778986.447326719760895,753.208374023437500,860.005004882812500
67,site0,67,31477.000000000000000,6793744.708022580482066,471.405181884765625,777.000000000000000,305.594818115234375,658.196965310394830,50.272139852250433,20718065.877075299620628,661.571533203125000,718.010974121093795
68,siteSC-3B,68,663703.000000000000000,143248363.692496448755264,470.000000000000000,1498.681396484375000,1028.681396484375000,877.618273006900495,194.211762190828154,582477880.649498820304871,862.482299804687500,1154.816845703125182
69,site20,69,12277.000000000000000,2649769.793194815982133,548.000000000000000,733.000000000000000,185.000000000000000,649.133407161496507,40.875078789448530,7969410.839721692726016,650.534912109375000,702.000000000000000
70,site19,70,42167.000000000000000,9100989.074663663282990,548.000000000000000,1186.721191406250000,638.721191406250000,795.513025491745339,141.265488912368170,33544397.745910424739122,764.996276855468750,999.465246582031341
71,site5,71,83848.000000000000000,18097083.784295748919249,511.000000000000000,1071.978515625000000,560.978515625000000,692.204354850242680,111.336661884286599,58039950.745483145117760,677.700653076171875,857.566638183593909
72,site36,72,196741.000000000000000,42463008.787402562797070,419.000000000000000,1437.000000000000000,1018.000000000000000,731.836727754508161,202.669644858076794,143982289.655149698257446,692.069824218750000,1024.338378906250000
73,site37,73,121954.000000000000000,26321578.998067978769541,418.000000000000000,1437.000000000000000,1019.000000000000000,628.358304807785316,180.739074842124836,76630808.704528644680977,565.182556152343750,904.822698974609239
74,site38,74,19349.000000000000000,4176133.886823042761534,374.000000000000000,489.000000000000000,115.000000000000000,420.574556790257930,23.265160933316992,8137697.099334700964391,415.000000000000000,455.808862304687523
75,siteSC-4B,75,1090813.000000000000000,235432380.665000945329666,379.000000000000000,1498.681396484375000,1119.681396484375000,780.790123966660644,205.696576647871410,851696017.494444966316223,737.970458984375000,1082.301977539062591
76,site24,76,16963.000000000000000,3661158.670844967011362,499.000000000000000,1019.711120605468750,520.711120605468750,717.339357872304504,123.055770858300505,12168227.527587901800871,716.195251464843750,887.332800292968841
77,site23,77,63915.000000000000000,13794903.993813363835216,499.146667480468750,1019.999023437500000,520.852355957031250,721.299260933631331,100.517400615591740,46101842.262573048472404,726.027893066406250,848.780541992187523
78,site35,78,13479.000000000000000,2909199.889425178989768,305.081359863281250,443.000000000000000,137.918640136718750,362.278557065422149,33.851822455296578,4883152.670684824697673,346.397796630859375,420.361749267578148
79,siteSC-5B,79,2219965.000000000000000,479139545.406021773815155,223.000000000000000,1498.681396484375000,1275.681396484375000,652.060707410396276,237.949359153579024,1447551948.326320409774780,625.760314941406250,993.146069335937455
80,siteSC-6B,80,2755213.000000000000000,594663206.094132781028748,181.000000000000000,1498.681396484375000,1317.681396484375000,616.548113202052491,234.739846453258764,1698721376.619766712188721,581.640258789062500,955.788928222656295
81,site9alt,81,151997.000000000000000,32805820.579639360308647,161.301345825195312,430.000000000000000,268.698654174804688,349.172110308320043,42.699373957013890,53073113.250533722341061,356.589050292968750,394.000000000000000
82,site6,82,23030.000000000000000,4970611.577525177970529,161.402252197265625,397.000000000000000,235.597747802734375,331.332243269648188,46.277994542033042,7630581.562499998137355,341.041931152343750,382.000000000000000
83,siteSC-7B,83,3081395.000000000000000,665063728.264359354972839,127.000000000000000,1498.681396484375000,1371.681396484375000,584.643826113641353,241.410051703406651,1801518562.567443847656250,540.629882812500000,934.705859375000045
