OID_,FID_allslumpsclippedtowatershed,FID_Peel_Slumps_2016,OBJECTID,SHAPE_Leng,SLUMP_ID,STATUS,GEOMORPH,SECONDARY,CONNECTIVI,RIPARIAN,NOTES,IMAGE_SOUR,IMAGE_DATE,FID_rts_delineations_stony_sarahaddCB,FID_rts_delineations_stony,OBJECTID_1,SHAPE_Leng_1,SLUMP_ID_1,STATUS_1,GEOMORPH_1,SECONDARY_1,CONNECTIVI_1,RIPARIAN_1,NOTES_1,IMAGE_SOUR_1,IMAGE_DATE_1,mapped,FID_Peel_Slumps_2016_CB,OBJECTID_12,SHAPE_Leng_12,SLUMP_ID_12,STATUS_12,GEOMORPH_12,SECONDARY_12,CONNECTIVI_12,RIPARIAN_12,NOTES_12,IMAGE_SOUR_12,IMAGE_DATE_12,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name,WatershedArea,LakeAddCheck,Shape_Length,Shape_Area
52,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,42,,S2UPTS4160617,,Y,6044.122109381524751,887861.089572744909674
53,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,44,,S2DNTS5160617,,Y,6044.122109381524751,887861.089572744909674
54,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,45,,S3UPTS6160730,,Y,6044.122109381524751,887861.089572744909674
55,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,47,,S3DNTS7160730,,Y,6044.122109381524751,887861.089572744909674
56,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,43,,S2INTSINFLOW2160617,,Y,24395.803737896239909,8847670.258114086464047
57,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,44,,S2DNTS5160617,,Y,24395.803737896239909,8847670.258114086464047
58,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,45,,S3UPTS6160730,,Y,24395.803737896239909,8847670.258114086464047
59,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,47,,S3DNTS7160730,,Y,24395.803737896239909,8847670.258114086464047
60,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,56,,site12-1,,Y,3831.035084608192392,211604.979220432782313
61,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,59,,siteSC-9A,,Y,3831.035084608192392,211604.979220432782313
