OID_,FID_rts_delineations_stony_sarahaddCB,FID_rts_delineations_stony,OBJECTID,SHAPE_Leng,SLUMP_ID,STATUS,GEOMORPH,SECONDARY,CONNECTIVI,RIPARIAN,NOTES,IMAGE_SOUR,IMAGE_DATE,mapped,FID_Peel_Slumps_2016_CB,OBJECTID_12,SHAPE_Leng_1,SLUMP_ID_1,STATUS_1,GEOMORPH_1,SECONDARY_1,CONNECTIVI_1,RIPARIAN_1,NOTES_1,IMAGE_SOUR_1,IMAGE_DATE_1,FID_revisedsite10wpoly_nad83zn8,HydroID,CREATED,Shape_Length,Shape_Area
72,77,77,266,534.072258240999986,171,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,534.072258242245880,10678.399939774588347
73,78,78,271,363.758361234999995,174,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,363.758361236144765,4443.479932087912857
74,79,79,272,416.379275726999992,175,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,416.379275741885465,7592.140005545425083
75,80,80,274,875.386603518000015,176,1,1,0,1,0,Stream flow dammed by debris tongue,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,875.386603531639821,22028.924008165173291
76,81,81,278,313.982310582000025,178,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,313.982310592507417,3930.516193743021176
77,82,82,279,717.561806745000013,179,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,717.561806753596898,11149.467831261585161
78,83,83,282,728.008326728000043,180,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,728.008326724501899,12531.433947382281985
79,84,84,287,828.912261007999973,184,1,1,0,1,0, ,1,1,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,828.912261009630811,11506.771053465126897
80,85,85,288,3776.544173260000207,185,1,1,1,1,0, ,1,1,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,3776.544173270848660,160656.407654579787049
81,86,86,290,253.986476613000008,187,1,1,0,1,0, ,1,1,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,253.986476616820312,2479.527805685184376
82,87,87,295,9141.977388190000056,191,1,1,1,1,0, ,1,1,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,1974.387417820708606,50567.655810511576419
83,88,88,296,2836.920172600000114,192,1,1,0,1,0, ,1,1,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,2836.920172592070685,83176.439906315194094
84,89,89,298,5731.439636289999726,194,1,1,0,1,0,Debris tongue obstructed by shadow,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,5731.439636283834261,431886.928324141947087
85,90,90,316,991.941586819999998,206,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,991.941586805175575,32724.569935681127390
86,92,92,327,758.164602449999961,215,1,1,0,1,0,Rotational landslide,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,758.164602454620535,25791.028517547612864
87,93,93,330,599.872762089000048,218,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,599.872762080399866,4491.015379266480522
88,94,94,331,844.190666809000049,219,1,1,0,1,0,Obstructed by imagery shadows,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,844.190666795925836,15439.502944755142380
89,95,95,332,601.026459434999992,220,1,1,0,1,0,Active layer detatchment,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,601.026459434418257,4859.811649771968405
90,96,96,333,694.433317544000033,221,1,1,0,1,0,Active layer detatchment,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,694.433317539478139,9944.970890031394447
91,97,97,334,1557.585810909999964,222,1,1,0,1,0,"Obstructed by imagery shadow, debris tongue inferred",1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,1557.585810900945262,45236.694574744040438
92,98,98,339,706.180795399999965,227,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,706.180795403205707,15173.283049733599910
93,99,99,0,0.000000000000000,100001,1,0,0,1,0,"Added by Scott Zolkos, using Sentinel-2 MS imagery dated 2017-06-15",0,0,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,461.952192644651859,5840.354212551048477
94,100,100,0,0.000000000000000,100002,1,0,0,1,0,"Added by Scott Zolkos, using Sentinel-2 MS imagery dated 2017-06-15",0,0,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,212.332504560540656,3298.512701355302397
95,101,101,0,0.000000000000000,100003,1,0,0,1,0,"Added by Scott Zolkos, using Sentinel-2 MS imagery dated 2017-06-15",0,0,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,375.345931665807086,7363.926018354003645
96,102,102,0,0.000000000000000,100004,1,0,0,1,0,"Added by Scott Zolkos, using Sentinel-2 MS imagery dated 2017-06-15",0,0,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,252.213784622401334,2755.801883111804273
97,103,103,0,0.000000000000000,100005,1,0,0,1,0,"Added by Scott Zolkos, using Sentinel-2 MS imagery dated 2017-06-15",0,0,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,460.843735651519864,11829.660756752173256
98,104,104,0,0.000000000000000,100006,1,0,0,1,0,"Added by Scott Zolkos, using Sentinel-2 MS imagery dated 2017-06-15",0,0,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,434.820634456225378,10369.224367487389827
99,105,105,0,0.000000000000000,100007,1,0,0,1,0,"Added by Scott Zolkos, using Sentinel-2 MS imagery dated 2017-06-15",0,0,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,937.769026781746788,42167.283036640823411
